"Block","Group","Density","Date","PHAU","DISP","EUOC","SCAM","BICE"
2,"2","L",2022-08-05,0.005,NA,NA,NA,NA
2,"10","C",2022-08-05,NA,NA,NA,NA,NA
2,"3","H",2022-08-05,NA,0.005,NA,NA,NA
2,"1","L",2022-08-05,NA,0.005,NA,NA,NA
2,"5","H",2022-08-05,NA,NA,NA,NA,NA
2,"5","L",2022-08-05,NA,NA,NA,NA,NA
2,"3","L",2022-08-05,NA,0.005,NA,NA,NA
2,"1","H",2022-08-05,NA,0.005,NA,NA,NA
2,"2","H",2022-08-05,NA,NA,NA,NA,NA
2,"4","H",2022-08-05,0.05,NA,NA,NA,NA
3,"1","L",2022-08-05,NA,0.05,NA,NA,NA
3,"2","H",2022-08-05,NA,0.05,NA,NA,NA
3,"5","H",2022-08-05,NA,0.05,NA,NA,0.005
3,"1","H",2022-08-05,NA,0.05,NA,NA,NA
3,"5","L",2022-08-05,NA,0.05,NA,NA,NA
3,"2","L",2022-08-05,NA,0.05,NA,NA,NA
3,"10","C",2022-08-05,NA,0.05,NA,NA,NA
3,"3","L",2022-08-05,NA,0.15,NA,NA,NA
3,"4","H",2022-08-05,0.05,0.05,NA,NA,NA
3,"3","H",2022-08-05,0.05,0.15,NA,NA,NA
3,"4","L",2022-08-05,0.05,0.05,NA,NA,NA
4,"2","L",2022-08-05,NA,NA,NA,NA,NA
4,"3","L",2022-08-05,NA,0.05,NA,NA,NA
4,"4","H",2022-08-05,NA,NA,NA,NA,NA
4,"5","H",2022-08-05,NA,NA,NA,NA,0.05
4,"1","H",2022-08-05,NA,NA,NA,NA,NA
4,"5","L",2022-08-05,NA,NA,NA,NA,NA
4,"3","H",2022-08-05,NA,0.05,NA,NA,NA
4,"2","H",2022-08-05,NA,0.05,NA,NA,NA
4,"1","L",2022-08-05,NA,0.05,NA,NA,NA
4,"10","C",2022-08-05,NA,NA,NA,NA,NA
4,"4","L",2022-08-05,NA,0.05,NA,NA,NA
5,"5","L",2022-08-05,NA,NA,NA,NA,NA
5,"2","H",2022-08-05,NA,NA,NA,NA,NA
5,"1","H",2022-08-05,NA,NA,NA,NA,NA
5,"3","H",2022-08-05,NA,NA,NA,NA,NA
5,"4","L",2022-08-05,NA,NA,NA,NA,NA
5,"1","L",2022-08-05,NA,0.05,NA,NA,NA
5,"2","L",2022-08-05,NA,NA,NA,NA,NA
5,"5","H",2022-08-05,NA,NA,NA,NA,0.05
5,"4","H",2022-08-05,NA,NA,NA,NA,NA
5,"10","C",2022-08-05,NA,NA,NA,NA,NA
5,"3","L",2022-08-05,NA,NA,NA,NA,NA
6,"2","H",2022-08-05,NA,NA,NA,NA,NA
6,"3","L",2022-08-05,NA,NA,NA,NA,NA
6,"1","H",2022-08-05,NA,NA,NA,NA,NA
6,"5","L",2022-08-05,NA,NA,NA,NA,NA
6,"3","H",2022-08-05,NA,NA,NA,NA,NA
6,"4","L",2022-08-05,NA,NA,NA,NA,NA
6,"1","L",2022-08-05,NA,NA,NA,NA,NA
6,"4","H",2022-08-05,NA,NA,NA,NA,NA
6,"2","L",2022-08-05,NA,NA,NA,NA,NA
6,"10","C",2022-08-05,NA,NA,NA,NA,NA
6,"5","H",2022-08-05,NA,NA,NA,NA,NA
1,"5","H",2022-08-19,NA,NA,NA,NA,NA
1,"1","L",2022-08-19,NA,NA,NA,NA,NA
1,"2","L",2022-08-19,NA,NA,NA,NA,NA
1,"4","L",2022-08-19,NA,NA,NA,NA,NA
1,"3","L",2022-08-19,NA,NA,NA,NA,NA
1,"4","H",2022-08-19,NA,NA,NA,NA,NA
1,"5","L",2022-08-19,NA,NA,NA,NA,NA
1,"10","C",2022-08-19,NA,0.05,NA,NA,NA
1,"1","H",2022-08-19,NA,NA,NA,NA,NA
1,"2","H",2022-08-19,NA,NA,NA,NA,NA
1,"3","H",2022-08-19,NA,NA,NA,NA,NA
2,"4","L",2022-08-19,0.15,NA,NA,NA,NA
2,"2","L",2022-08-19,0.005,0.05,NA,NA,NA
2,"10","C",2022-08-19,NA,0.05,NA,NA,NA
2,"3","H",2022-08-19,NA,0.05,NA,NA,NA
2,"1","L",2022-08-19,NA,0.05,NA,NA,NA
2,"5","H",2022-08-19,NA,NA,NA,NA,NA
2,"5","L",2022-08-19,NA,NA,NA,NA,NA
2,"3","L",2022-08-19,NA,0.05,NA,NA,NA
2,"1","H",2022-08-19,NA,0.05,NA,NA,NA
2,"2","H",2022-08-19,NA,NA,NA,NA,NA
2,"4","H",2022-08-19,0.15,NA,NA,NA,NA
3,"1","L",2022-08-19,NA,0.15,NA,NA,NA
3,"2","H",2022-08-19,NA,0.25,NA,NA,NA
3,"5","H",2022-08-19,NA,0.25,NA,NA,NA
3,"1","H",2022-08-19,NA,0.35,NA,NA,NA
3,"5","L",2022-08-19,NA,0.25,NA,NA,NA
3,"2","L",2022-08-19,NA,0.15,NA,NA,NA
3,"10","C",2022-08-19,NA,0.35,NA,NA,NA
3,"3","L",2022-08-19,NA,0.25,NA,NA,NA
3,"4","H",2022-08-19,0.05,0.25,NA,NA,NA
3,"3","H",2022-08-19,0.05,0.35,NA,NA,NA
3,"4","L",2022-08-19,0.15,0.05,NA,NA,NA
4,"2","L",2022-08-19,NA,0.05,NA,NA,NA
4,"3","L",2022-08-19,NA,0.15,NA,NA,NA
4,"4","H",2022-08-19,NA,0.05,NA,NA,NA
4,"5","H",2022-08-19,NA,NA,NA,NA,0.15
4,"1","H",2022-08-19,NA,NA,NA,NA,NA
4,"5","L",2022-08-19,NA,NA,NA,NA,NA
4,"3","H",2022-08-19,0.005,0.35,NA,NA,NA
4,"2","H",2022-08-19,NA,0.05,NA,NA,NA
4,"1","L",2022-08-19,NA,0.05,NA,NA,NA
4,"10","C",2022-08-19,NA,0.05,NA,NA,NA
4,"4","L",2022-08-19,NA,0.15,NA,NA,NA
5,"5","L",2022-08-19,NA,NA,NA,NA,NA
5,"2","H",2022-08-19,NA,NA,NA,NA,NA
5,"1","H",2022-08-19,NA,NA,NA,NA,NA
5,"3","H",2022-08-19,NA,NA,NA,NA,NA
5,"4","L",2022-08-19,NA,0.05,NA,NA,NA
5,"1","L",2022-08-19,NA,0.05,NA,NA,NA
5,"2","L",2022-08-19,NA,NA,NA,NA,NA
5,"5","H",2022-08-19,NA,0.005,NA,NA,0.05
5,"4","H",2022-08-19,NA,NA,NA,NA,NA
5,"10","C",2022-08-19,NA,NA,NA,NA,NA
5,"3","L",2022-08-19,NA,NA,NA,NA,NA
6,"2","H",2022-08-19,NA,NA,NA,NA,NA
6,"3","L",2022-08-19,NA,NA,NA,NA,NA
6,"1","H",2022-08-19,NA,NA,NA,NA,NA
6,"5","L",2022-08-19,NA,NA,NA,NA,NA
6,"3","H",2022-08-19,NA,NA,NA,NA,NA
6,"4","L",2022-08-19,NA,NA,NA,NA,NA
6,"1","L",2022-08-19,NA,NA,NA,NA,NA
6,"4","H",2022-08-19,NA,NA,NA,NA,NA
6,"2","L",2022-08-19,NA,NA,NA,NA,NA
6,"10","C",2022-08-19,NA,NA,NA,NA,NA
6,"5","H",2022-08-19,NA,NA,NA,NA,NA
1,"5","H",2022-09-02,NA,NA,NA,NA,NA
1,"1","L",2022-09-02,NA,NA,NA,NA,NA
1,"2","L",2022-09-02,NA,NA,NA,NA,NA
1,"4","L",2022-09-02,NA,NA,NA,NA,NA
1,"3","L",2022-09-02,NA,NA,NA,NA,NA
1,"4","H",2022-09-02,NA,NA,NA,NA,NA
1,"5","L",2022-09-02,NA,NA,NA,NA,NA
1,"10","C",2022-09-02,NA,0.05,NA,NA,NA
1,"1","H",2022-09-02,NA,NA,NA,NA,NA
1,"2","H",2022-09-02,NA,NA,NA,NA,NA
1,"3","H",2022-09-02,NA,0.005,NA,NA,NA
2,"4","L",2022-09-02,0.15,NA,NA,NA,NA
2,"2","L",2022-09-02,0.05,0.05,NA,NA,NA
2,"10","C",2022-09-02,NA,0.05,NA,NA,NA
2,"3","H",2022-09-02,NA,0.05,NA,NA,NA
2,"1","L",2022-09-02,NA,0.05,NA,NA,NA
2,"5","H",2022-09-02,NA,NA,NA,NA,NA
2,"5","L",2022-09-02,NA,0.005,NA,NA,NA
2,"3","L",2022-09-02,NA,0.05,NA,NA,NA
2,"1","H",2022-09-02,NA,0.05,NA,NA,NA
2,"2","H",2022-09-02,NA,NA,NA,NA,NA
2,"4","H",2022-09-02,0.15,NA,NA,0.05,NA
3,"1","L",2022-09-02,NA,0.25,NA,NA,NA
3,"2","H",2022-09-02,NA,0.25,NA,NA,NA
3,"5","H",2022-09-02,NA,0.35,NA,NA,NA
3,"1","H",2022-09-02,NA,0.55,NA,NA,NA
3,"5","L",2022-09-02,NA,0.45,NA,NA,NA
3,"2","L",2022-09-02,NA,0.25,NA,NA,NA
3,"10","C",2022-09-02,NA,0.45,NA,NA,NA
3,"3","L",2022-09-02,NA,0.65,NA,NA,NA
3,"4","H",2022-09-02,0.15,0.25,NA,NA,NA
3,"3","H",2022-09-02,0.15,0.35,NA,NA,NA
3,"4","L",2022-09-02,0.15,0.15,NA,NA,NA
4,"2","L",2022-09-02,NA,0.05,NA,NA,NA
4,"3","L",2022-09-02,NA,0.15,NA,NA,NA
4,"4","H",2022-09-02,NA,0.05,NA,NA,NA
4,"5","H",2022-09-02,NA,NA,NA,NA,0.15
4,"1","H",2022-09-02,NA,NA,NA,NA,NA
4,"5","L",2022-09-02,NA,NA,NA,NA,NA
4,"3","H",2022-09-02,0.05,0.45,NA,NA,NA
4,"2","H",2022-09-02,NA,0.15,NA,NA,NA
4,"1","L",2022-09-02,NA,0.05,NA,NA,NA
4,"10","C",2022-09-02,NA,0.05,NA,NA,NA
4,"4","L",2022-09-02,NA,0.25,NA,NA,NA
5,"5","L",2022-09-02,NA,NA,NA,NA,NA
5,"2","H",2022-09-02,NA,NA,NA,NA,NA
5,"1","H",2022-09-02,NA,NA,NA,NA,NA
5,"3","H",2022-09-02,NA,NA,NA,NA,NA
5,"4","L",2022-09-02,NA,0.05,NA,NA,NA
5,"1","L",2022-09-02,NA,0.05,NA,NA,NA
5,"2","L",2022-09-02,NA,NA,NA,NA,NA
5,"5","H",2022-09-02,NA,0.05,NA,NA,0.05
5,"4","H",2022-09-02,NA,NA,NA,NA,NA
5,"10","C",2022-09-02,NA,NA,NA,NA,NA
5,"3","L",2022-09-02,NA,NA,NA,NA,NA
6,"2","H",2022-09-02,NA,NA,NA,NA,NA
6,"3","L",2022-09-02,NA,NA,NA,NA,NA
6,"1","H",2022-09-02,NA,NA,NA,NA,NA
6,"5","L",2022-09-02,NA,NA,NA,NA,NA
6,"3","H",2022-09-02,NA,NA,NA,NA,NA
6,"4","L",2022-09-02,NA,NA,NA,NA,NA
6,"1","L",2022-09-02,NA,NA,NA,NA,NA
6,"4","H",2022-09-02,NA,NA,NA,NA,NA
6,"2","L",2022-09-02,NA,NA,NA,NA,NA
6,"10","C",2022-09-02,NA,NA,NA,NA,NA
6,"5","H",2022-09-02,NA,NA,NA,NA,NA
1,"5","H",2022-09-16,NA,NA,NA,NA,NA
1,"1","L",2022-09-16,NA,0.05,NA,NA,NA
1,"2","L",2022-09-16,NA,NA,NA,NA,NA
1,"4","L",2022-09-16,NA,NA,NA,NA,NA
1,"3","L",2022-09-16,NA,NA,NA,NA,NA
1,"4","H",2022-09-16,NA,NA,NA,NA,NA
1,"5","L",2022-09-16,NA,NA,NA,NA,NA
1,"10","C",2022-09-16,NA,NA,NA,NA,NA
1,"1","H",2022-09-16,NA,NA,NA,NA,NA
1,"2","H",2022-09-16,NA,NA,NA,NA,NA
1,"3","H",2022-09-16,NA,0.05,NA,NA,NA
2,"4","L",2022-09-16,0.15,0.05,NA,NA,NA
2,"2","L",2022-09-16,0.05,0.05,NA,NA,NA
2,"10","C",2022-09-16,NA,0.05,NA,NA,NA
2,"3","H",2022-09-16,NA,0.15,NA,NA,NA
2,"1","L",2022-09-16,NA,0.05,NA,NA,NA
2,"5","H",2022-09-16,NA,NA,NA,NA,NA
2,"5","L",2022-09-16,NA,0.05,NA,NA,NA
2,"3","L",2022-09-16,NA,0.05,NA,NA,NA
2,"1","H",2022-09-16,NA,0.15,NA,NA,NA
2,"2","H",2022-09-16,NA,NA,NA,NA,NA
2,"4","H",2022-09-16,0.15,NA,NA,0.05,NA
3,"1","L",2022-09-16,0.05,0.15,NA,NA,NA
3,"2","H",2022-09-16,NA,0.25,NA,NA,NA
3,"5","H",2022-09-16,NA,0.35,NA,NA,NA
3,"1","H",2022-09-16,NA,0.45,0.05,NA,NA
3,"5","L",2022-09-16,NA,0.35,NA,NA,NA
3,"2","L",2022-09-16,0.005,0.25,NA,NA,NA
3,"10","C",2022-09-16,0.05,0.35,NA,NA,NA
3,"3","L",2022-09-16,0.05,0.55,NA,NA,NA
3,"4","H",2022-09-16,0.05,0.35,NA,NA,NA
3,"3","H",2022-09-16,0.05,0.45,NA,NA,NA
3,"4","L",2022-09-16,0.15,0.15,NA,NA,NA
4,"2","L",2022-09-16,NA,0.05,NA,NA,NA
4,"3","L",2022-09-16,NA,0.25,NA,NA,NA
4,"4","H",2022-09-16,NA,0.05,NA,NA,NA
4,"5","H",2022-09-16,NA,NA,NA,NA,0.05
4,"1","H",2022-09-16,NA,NA,NA,NA,NA
4,"5","L",2022-09-16,NA,NA,NA,NA,NA
4,"3","H",2022-09-16,0.05,0.55,NA,NA,NA
4,"2","H",2022-09-16,NA,0.15,NA,NA,NA
4,"1","L",2022-09-16,NA,0.15,NA,NA,NA
4,"10","C",2022-09-16,NA,0.05,NA,NA,NA
4,"4","L",2022-09-16,NA,0.25,NA,NA,NA
5,"5","L",2022-09-16,NA,NA,NA,NA,NA
5,"2","H",2022-09-16,NA,NA,NA,NA,NA
5,"1","H",2022-09-16,NA,NA,NA,NA,NA
5,"3","H",2022-09-16,NA,0.005,NA,NA,NA
5,"4","L",2022-09-16,NA,0.05,NA,NA,NA
5,"1","L",2022-09-16,NA,0.15,NA,NA,NA
5,"2","L",2022-09-16,NA,NA,NA,NA,NA
5,"5","H",2022-09-16,NA,0.05,NA,NA,0.05
5,"4","H",2022-09-16,NA,NA,NA,0.05,NA
5,"10","C",2022-09-16,NA,NA,NA,NA,NA
5,"3","L",2022-09-16,NA,NA,NA,NA,NA
6,"2","H",2022-09-16,NA,NA,NA,NA,NA
6,"3","L",2022-09-16,NA,NA,NA,NA,NA
6,"1","H",2022-09-16,NA,NA,NA,NA,NA
6,"5","L",2022-09-16,NA,NA,NA,NA,NA
6,"3","H",2022-09-16,NA,0.05,NA,NA,NA
6,"4","L",2022-09-16,NA,NA,NA,NA,NA
6,"1","L",2022-09-16,NA,NA,NA,NA,NA
6,"4","H",2022-09-16,NA,NA,NA,0.05,NA
6,"2","L",2022-09-16,NA,NA,NA,NA,NA
6,"10","C",2022-09-16,NA,0.005,NA,NA,NA
6,"5","H",2022-09-16,NA,NA,NA,NA,NA
